用例编号	用例标题	接口路径	请求方法	请求参数	预期结果
TC001	用例编号	用例标题	接口路径	请求方法	预期业务码
TC001	:---	:---	:---	:---	:---
TC001	TC-LOGIN-001	登录成功-正确用户名和密码	/employee/login	POST	1
TC001	TC-LOGIN-002	登录失败-错误密码	/employee/login	POST	0
TC001	TC-LOGIN-003	登录失败-不存在的用户名	/employee/login	POST	0
TC001	TC-LOGIN-004	登录失败-用户名为空	/employee/login	POST	
TC001	TC-LOGIN-005	登录失败-密码为空	/employee/login	POST	
TC001	TC-LOGIN-006	登录失败-用户名和密码均为空	/employee/login	POST	
TC001	TC-LOGIN-007	登录失败-请求体格式错误（非JSON）	/employee/login	POST	
TC001	TC-LOGIN-008	登录失败-请求体为空	/employee/login	POST	
TC001	TC-LOGIN-009	登录失败-用户名长度超长（边界值）	/employee/login	POST	
TC001	TC-LOGIN-010	登录失败-密码长度超长（边界值）	/employee/login	POST	
TC013	用例编号	用例标题	接口路径	请求方法	预期业务码
TC013	:---	:---	:---	:---	:---
TC013	TC-LOGIN-001	正常登录（有效等价类）	/admin/employee/login	POST	
TC013	TC-LOGIN-002	用户名不存在（无效等价类）	/admin/employee/login	POST	
TC013	TC-LOGIN-003	密码错误（无效等价类）	/admin/employee/login	POST	
TC013	TC-LOGIN-004	用户名为空（边界/异常）	/admin/employee/login	POST	
TC013	TC-LOGIN-005	密码为空（边界/异常）	/admin/employee/login	POST	
TC013	TC-LOGIN-006	请求体格式错误（异常场景）	/admin/employee/login	POST	
TC013	TC-LOGIN-007	缺少必填字段（异常场景）	/admin/employee/login	POST	
TC013	TC-LOGIN-008	用户名超长（边界值分析）	/admin/employee/login	POST	
TC013	TC-LOGIN-009	密码超长（边界值分析）	/admin/employee/login	POST	
TC013	TC-LOGIN-010	请求体为 JSON 数组（异常场景）	/admin/employee/login	POST	
TC025	正常退出登录（有效Token）	/admin/employee/logout	POST	{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.valid-token"}	退出成功
TC025	未提供Token（空请求体）	/admin/employee/logout	POST	{}	请求体缺少token字段
